
baseline (weight decay 1.0)
seed  last step  train>99%   test>90%  final train  final test
   0      40000        200       5600       1.0000      1.0000
   1      40000        200       5200       1.0000      1.0000
   2      40000        200       6300       1.0000      0.9973
   3      40000        200       5400       1.0000      1.0000
   4      40000        200       8600       1.0000      1.0000
   5      40000        200       4800       1.0000      1.0000
   6      40000        200       8600       1.0000      1.0000
   7      40000        200       8000       1.0000      1.0000
   8      40000        200       6900       1.0000      1.0000
   9      40000        200      14300       1.0000      1.0000

control (weight decay 0)
seed  last step  train>99%   test>90%  final train  final test
   0      40000        200       None       1.0000      0.0238
