seed,head,mean_attn_a,mean_attn_b,mean_attn_eq,std_attn_a,std_attn_b
0,0,0.500135,0.498634,0.00123172,0.2595,0.2595
0,1,0.41523,0.414585,0.170185,0.314462,0.314387
0,2,0.499772,0.497868,0.00235952,0.29307,0.293069
0,3,0.499089,0.499713,0.00119818,0.261249,0.261249
1,0,0.4029,0.403273,0.193827,0.31494,0.314991
1,1,0.498599,0.499254,0.00214603,0.278336,0.278337
1,2,0.49946,0.499191,0.00134865,0.287503,0.287503
1,3,0.498361,0.499516,0.00212279,0.282099,0.2821
2,0,0.499317,0.499316,0.00136726,0.227074,0.227074
2,1,0.498888,0.499326,0.00178666,0.289514,0.289514
2,2,0.499734,0.498492,0.00177417,0.298313,0.298312
2,3,0.499119,0.499735,0.00114595,0.284176,0.284176
3,0,0.499231,0.499903,0.000866094,0.266474,0.266474
3,1,0.415638,0.415392,0.16897,0.310036,0.310008
3,2,0.410767,0.408943,0.18029,0.312856,0.312634
3,3,0.500259,0.498847,0.000894088,0.2696,0.2696
4,0,0.412872,0.414493,0.172636,0.24831,0.248468
4,1,0.4989,0.499319,0.00178084,0.365515,0.365515
4,2,0.499431,0.498823,0.0017464,0.367,0.367
4,3,0.409747,0.408343,0.181909,0.279538,0.279398
5,0,0.499269,0.498843,0.00188785,0.286671,0.286671
5,1,0.499155,0.499047,0.00179787,0.275169,0.275169
5,2,0.498563,0.49949,0.00194673,0.286239,0.28624
5,3,0.499148,0.498908,0.00194398,0.272979,0.272979
6,0,0.407444,0.407017,0.18554,0.307445,0.307397
6,1,0.499166,0.499912,0.000921482,0.287976,0.287976
6,2,0.411415,0.409945,0.178639,0.306325,0.306138
6,3,0.49981,0.499277,0.000913693,0.287683,0.287683
7,0,0.499484,0.498688,0.0018276,0.279515,0.279515
7,1,0.499387,0.499012,0.00160107,0.30078,0.30078
7,2,0.497746,0.499921,0.00233301,0.288188,0.28819
7,3,0.499757,0.49866,0.00158323,0.301888,0.301888
8,0,0.498582,0.499438,0.00197959,0.288467,0.288467
8,1,0.412818,0.413597,0.173586,0.309493,0.309588
8,2,0.500191,0.498655,0.00115421,0.255054,0.255053
8,3,0.499402,0.499446,0.00115166,0.256145,0.256145
9,0,0.498596,0.50004,0.0013631,0.288939,0.288939
9,1,0.499898,0.498855,0.00124697,0.298419,0.298418
9,2,0.49779,0.496242,0.00596834,0.299363,0.299363
9,3,0.496859,0.497151,0.00598992,0.304417,0.304418
