seed,threshold,n_key,frequencies,fraction_of_norm,constant_fraction,largest_excluded
0,0.01,5,5 17 24 34 50,0.9888775676,4.478375915e-05,0.002890221103
1,0.01,4,5 17 32 48,0.9822849926,0.0001351792868,0.005516309613
2,0.01,5,4 5 20 27 40,0.9388538797,0.0006772623262,0.009182585823
3,0.01,5,6 21 25 26 44,0.9790890388,0.0001009635885,0.006609595097
4,0.01,4,21 33 46 56,0.9036018287,0.008249537959,0.0096161832
5,0.01,5,5 29 42 45 48,0.9904855808,9.251334186e-06,0.001295128345
6,0.01,4,4 5 8 35,0.9728331445,0.001111187295,0.008225815659
7,0.01,5,14 23 30 33 45,0.9879212847,1.41296748e-05,0.001670088583
8,0.01,5,3 6 21 26 51,0.9872216854,5.346743071e-05,0.004964565021
9,0.01,5,17 19 34 51 56,0.9893517234,3.149833211e-05,0.00217664273
