seed,frequency,n_neurons,single_fve_median,sum_fve_median,phase_resultant
0,5,104,0.965763238,0.1721894215,0.06757446635
0,17,106,0.9727498176,0.0858155171,0.03265587914
0,24,129,0.9461810674,0.1976470599,0.1084083158
0,34,0,,,nan
0,50,173,0.9655030165,0.186031409,0.05495553885
1,5,146,0.9433299241,0.2145334042,0.1717946655
1,17,130,0.9760750969,0.175028756,0.04307268959
1,32,94,0.9460519749,0.09494329486,0.04761529656
1,48,142,0.8593697807,0.08823265219,0.2405977158
2,4,110,0.964746282,0.1649498142,0.1551497095
2,5,119,0.9598209589,0.1755501064,0.216392242
2,20,108,0.5866997256,0.06770595279,0.4854698301
2,27,175,0.9617847866,0.1862685242,0.03993675238
2,40,0,,,nan
3,6,136,0.9562499617,0.1794468283,0.2837837327
3,21,89,0.9576115159,0.1903353602,0.04925886774
3,25,0,,,nan
3,26,119,0.9686247747,0.176292873,0.03035768874
3,44,167,0.9705019702,0.09098840975,0.05499617353
4,21,123,0.9422568611,0.2278316279,0.08649297853
4,33,166,0.9544563203,0.1809927327,0.2758541005
4,46,62,0.8252886421,0.2478170662,0.1612185213
4,56,161,0.9504253332,0.1359096809,0.1144210397
5,5,170,0.9629580634,0.1890751032,0.07060504153
5,29,0,,,nan
5,42,112,0.974571557,0.09711250553,0.08966444152
5,45,86,0.8568261246,0.08469801791,0.008094677122
5,48,144,0.9394829367,0.1896348401,0.112659579
6,4,165,0.9639353409,0.1662182066,0.3255116488
6,5,123,0.9636889281,0.1842042002,0.1279513105
6,8,0,,,nan
6,35,222,0.955371704,0.1738013813,0.05159866223
7,14,154,0.9603746233,0.2049842291,0.135309643
7,23,0,,,nan
7,30,94,0.9602705032,0.1800290544,0.07739997008
7,33,129,0.9248669188,0.1159026943,0.07561849072
7,45,135,0.9729720394,0.1041131579,0.01191835581
8,3,139,0.9745902487,0.08556697605,0.0369477145
8,6,0,,,nan
8,21,141,0.9720695711,0.1600309796,0.117561087
8,26,112,0.9608124567,0.1946171522,0.2189671614
8,51,120,0.9538630851,0.195011261,0.1138922
9,17,48,0.8571416733,0.12471054,0.1211974234
9,19,144,0.9650857509,0.1291219859,0.04078394248
9,34,143,0.9608831976,0.1924236737,0.08912661175
9,51,0,,,nan
9,56,177,0.9662626419,0.181469808,0.03502806343
