seed,selection,neuron,a,b,activation
0,single_frequency,131,0,0,0
0,single_frequency,131,0,1,0
0,single_frequency,131,0,2,0
0,single_frequency,131,0,3,0
0,single_frequency,131,0,4,0
0,single_frequency,131,0,5,0.216679
0,single_frequency,131,0,6,0.667857
0,single_frequency,131,0,7,0.709059
0,single_frequency,131,0,8,0.906742
0,single_frequency,131,0,9,0.635041
0,single_frequency,131,0,10,0.594265
0,single_frequency,131,0,11,0.376183
0,single_frequency,131,0,12,0.185044
0,single_frequency,131,0,13,0.127343
0,single_frequency,131,0,14,0
0,single_frequency,131,0,15,0
0,single_frequency,131,0,16,0
0,single_frequency,131,0,17,0
0,single_frequency,131,0,18,0
0,single_frequency,131,0,19,0
0,single_frequency,131,0,20,0
0,single_frequency,131,0,21,0
0,single_frequency,131,0,22,0
0,single_frequency,131,0,23,0
0,single_frequency,131,0,24,0
0,single_frequency,131,0,25,0
0,single_frequency,131,0,26,0.0528624
0,single_frequency,131,0,27,0.112238
0,single_frequency,131,0,28,0.343708
0,single_frequency,131,0,29,0.453977
0,single_frequency,131,0,30,0.649528
0,single_frequency,131,0,31,0.759526
0,single_frequency,131,0,32,0.567136
0,single_frequency,131,0,33,0.639092
0,single_frequency,131,0,34,0.322073
0,single_frequency,131,0,35,0.374646
0,single_frequency,131,0,36,0
0,single_frequency,131,0,37,0
0,single_frequency,131,0,38,0
0,single_frequency,131,0,39,0
0,single_frequency,131,0,40,0
0,single_frequency,131,0,41,0
0,single_frequency,131,0,42,0
0,single_frequency,131,0,43,0
0,single_frequency,131,0,44,0
0,single_frequency,131,0,45,0
0,single_frequency,131,0,46,0
0,single_frequency,131,0,47,0
0,single_frequency,131,0,48,0
0,single_frequency,131,0,49,0.0233935
0,single_frequency,131,0,50,0.229748
0,single_frequency,131,0,51,0.642337
0,single_frequency,131,0,52,0.659198
0,single_frequency,131,0,53,0.84397
0,single_frequency,131,0,54,0.667563
0,single_frequency,131,0,55,0.486228
0,single_frequency,131,0,56,0.379916
0,single_frequency,131,0,57,0.159788
0,single_frequency,131,0,58,0.313967
0,single_frequency,131,0,59,0
0,single_frequency,131,0,60,0
0,single_frequency,131,0,61,0
0,single_frequency,131,0,62,0
0,single_frequency,131,0,63,0
0,single_frequency,131,0,64,0
0,single_frequency,131,0,65,0
0,single_frequency,131,0,66,0
0,single_frequency,131,0,67,0
0,single_frequency,131,0,68,0
0,single_frequency,131,0,69,0
0,single_frequency,131,0,70,0
0,single_frequency,131,0,71,0
0,single_frequency,131,0,72,0
0,single_frequency,131,0,73,0.303713
0,single_frequency,131,0,74,0.582516
0,single_frequency,131,0,75,0.602425
0,single_frequency,131,0,76,0.818807
0,single_frequency,131,0,77,0.708621
0,single_frequency,131,0,78,0.729911
0,single_frequency,131,0,79,0.30498
0,single_frequency,131,0,80,0.269628
0,single_frequency,131,0,81,0
0,single_frequency,131,0,82,0
0,single_frequency,131,0,83,0
0,single_frequency,131,0,84,0
0,single_frequency,131,0,85,0
0,single_frequency,131,0,86,0
0,single_frequency,131,0,87,0
0,single_frequency,131,0,88,0
0,single_frequency,131,0,89,0
0,single_frequency,131,0,90,0
0,single_frequency,131,0,91,0
0,single_frequency,131,0,92,0
0,single_frequency,131,0,93,0
0,single_frequency,131,0,94,0.0404056
0,single_frequency,131,0,95,0.156074
0,single_frequency,131,0,96,0.586201
0,single_frequency,131,0,97,0.610066
0,single_frequency,131,0,98,0.690729
0,single_frequency,131,0,99,0.582758
0,single_frequency,131,0,100,0.532772
0,single_frequency,131,0,101,0.633262
0,single_frequency,131,0,102,0.183648
0,single_frequency,131,0,103,0.320228
0,single_frequency,131,0,104,0
0,single_frequency,131,0,105,0
0,single_frequency,131,0,106,0
0,single_frequency,131,0,107,0
0,single_frequency,131,0,108,0
0,single_frequency,131,0,109,0
0,single_frequency,131,0,110,0
0,single_frequency,131,0,111,0
0,single_frequency,131,0,112,0
0,single_frequency,131,1,0,0
0,single_frequency,131,1,1,0
0,single_frequency,131,1,2,0
0,single_frequency,131,1,3,0.0536287
0,single_frequency,131,1,4,0.369857
0,single_frequency,131,1,5,0.858147
0,single_frequency,131,1,6,1.00377
0,single_frequency,131,1,7,1.41303
0,single_frequency,131,1,8,1.24657
0,single_frequency,131,1,9,1.39489
0,single_frequency,131,1,10,1.06227
0,single_frequency,131,1,11,1.10855
0,single_frequency,131,1,12,0.823237
0,single_frequency,131,1,13,0.597993
0,single_frequency,131,1,14,0.535169
0,single_frequency,131,1,15,0
0,single_frequency,131,1,16,0
0,single_frequency,131,1,17,0
0,single_frequency,131,1,18,0
0,single_frequency,131,1,19,0
0,single_frequency,131,1,20,0
0,single_frequency,131,1,21,0
0,single_frequency,131,1,22,0
0,single_frequency,131,1,23,0
0,single_frequency,131,1,24,0
0,single_frequency,131,1,25,0.180266
0,single_frequency,131,1,26,0.21395
0,single_frequency,131,1,27,0.791139
0,single_frequency,131,1,28,0.755578
0,single_frequency,131,1,29,1.02244
0,single_frequency,131,1,30,1.22806
0,single_frequency,131,1,31,1.12653
0,single_frequency,131,1,32,1.32693
0,single_frequency,131,1,33,1.06044
0,single_frequency,131,1,34,1.23266
0,single_frequency,131,1,35,0.696989
0,single_frequency,131,1,36,0.75072
0,single_frequency,131,1,37,0.0795232
0,single_frequency,131,1,38,0
0,single_frequency,131,1,39,0
0,single_frequency,131,1,40,0
0,single_frequency,131,1,41,0
0,single_frequency,131,1,42,0
0,single_frequency,131,1,43,0
0,single_frequency,131,1,44,0
0,single_frequency,131,1,45,0
0,single_frequency,131,1,46,0
0,single_frequency,131,1,47,0
0,single_frequency,131,1,48,0.137453
0,single_frequency,131,1,49,0.273663
0,single_frequency,131,1,50,0.983285
0,single_frequency,131,1,51,0.968696
0,single_frequency,131,1,52,1.30344
0,single_frequency,131,1,53,1.21414
0,single_frequency,131,1,54,1.34005
0,single_frequency,131,1,55,1.03029
0,single_frequency,131,1,56,0.969359
0,single_frequency,131,1,57,0.992295
0,single_frequency,131,1,58,0.642087
0,single_frequency,131,1,59,0.691211
0,single_frequency,131,1,60,0
0,single_frequency,131,1,61,0
0,single_frequency,131,1,62,0
0,single_frequency,131,1,63,0
0,single_frequency,131,1,64,0
0,single_frequency,131,1,65,0
0,single_frequency,131,1,66,0
0,single_frequency,131,1,67,0
0,single_frequency,131,1,68,0
0,single_frequency,131,1,69,0
0,single_frequency,131,1,70,0.0573833
0,single_frequency,131,1,71,0.155599
0,single_frequency,131,1,72,0.544251
0,single_frequency,131,1,73,0.792267
0,single_frequency,131,1,74,0.964695
0,single_frequency,131,1,75,1.26447
0,single_frequency,131,1,76,1.25143
0,single_frequency,131,1,77,1.51284
0,single_frequency,131,1,78,1.04976
0,single_frequency,131,1,79,1.18124
0,single_frequency,131,1,80,0.719295
0,single_frequency,131,1,81,0.648823
0,single_frequency,131,1,82,0.298938
0,single_frequency,131,1,83,0
0,single_frequency,131,1,84,0
0,single_frequency,131,1,85,0
0,single_frequency,131,1,86,0
0,single_frequency,131,1,87,0
0,single_frequency,131,1,88,0
0,single_frequency,131,1,89,0
0,single_frequency,131,1,90,0
0,single_frequency,131,1,91,0
0,single_frequency,131,1,92,0
0,single_frequency,131,1,93,0.236354
0,single_frequency,131,1,94,0.268399
0,single_frequency,131,1,95,0.891817
0,single_frequency,131,1,96,0.886299
0,single_frequency,131,1,97,1.27695
0,single_frequency,131,1,98,1.13837
0,single_frequency,131,1,99,1.13744
0,single_frequency,131,1,100,1.1804
0,single_frequency,131,1,101,1.00638
0,single_frequency,131,1,102,1.18226
0,single_frequency,131,1,103,0.662308
0,single_frequency,131,1,104,0.736617
0,single_frequency,131,1,105,0.0332034
0,single_frequency,131,1,106,0
0,single_frequency,131,1,107,0
0,single_frequency,131,1,108,0
0,single_frequency,131,1,109,0
0,single_frequency,131,1,110,0
0,single_frequency,131,1,111,0
0,single_frequency,131,1,112,0
0,single_frequency,131,2,0,0
0,single_frequency,131,2,1,0
0,single_frequency,131,2,2,0.132492
0,single_frequency,131,2,3,0.564566
0,single_frequency,131,2,4,1.00464
0,single_frequency,131,2,5,1.39057
0,single_frequency,131,2,6,1.78266
0,single_frequency,131,2,7,1.9219
0,single_frequency,131,2,8,2.10554
0,single_frequency,131,2,9,2.03324
0,single_frequency,131,2,10,1.96283
0,single_frequency,131,2,11,1.77005
0,single_frequency,131,2,12,1.56449
0,single_frequency,131,2,13,1.38089
0,single_frequency,131,2,14,0.908328
0,single_frequency,131,2,15,0.530317
0,single_frequency,131,2,16,0
0,single_frequency,131,2,17,0
0,single_frequency,131,2,18,0
0,single_frequency,131,2,19,0
0,single_frequency,131,2,20,0
0,single_frequency,131,2,21,0
0,single_frequency,131,2,22,0
0,single_frequency,131,2,23,0
0,single_frequency,131,2,24,0.0399874
0,single_frequency,131,2,25,0.358693
0,single_frequency,131,2,26,0.991981
0,single_frequency,131,2,27,1.21845
0,single_frequency,131,2,28,1.51195
0,single_frequency,131,2,29,1.68985
0,single_frequency,131,2,30,1.852
0,single_frequency,131,2,31,1.97356
0,single_frequency,131,2,32,1.94308
0,single_frequency,131,2,33,2.04693
0,single_frequency,131,2,34,1.76371
0,single_frequency,131,2,35,1.69253
0,single_frequency,131,2,36,1.19412
0,single_frequency,131,2,37,0.669727
0,single_frequency,131,2,38,0.12005
0,single_frequency,131,2,39,0
0,single_frequency,131,2,40,0
0,single_frequency,131,2,41,0
0,single_frequency,131,2,42,0
0,single_frequency,131,2,43,0
0,single_frequency,131,2,44,0
0,single_frequency,131,2,45,0
0,single_frequency,131,2,46,0
0,single_frequency,131,2,47,0.0971353
0,single_frequency,131,2,48,0.506753
0,single_frequency,131,2,49,1.02457
0,single_frequency,131,2,50,1.37665
0,single_frequency,131,2,51,1.76564
0,single_frequency,131,2,52,1.9072
0,single_frequency,131,2,53,2.02824
0,single_frequency,131,2,54,1.98281
0,single_frequency,131,2,55,1.82872
0,single_frequency,131,2,56,1.81148
0,single_frequency,131,2,57,1.59819
0,single_frequency,131,2,58,1.56067
0,single_frequency,131,2,59,1.01446
0,single_frequency,131,2,60,0.642765
0,single_frequency,131,2,61,0
0,single_frequency,131,2,62,0
0,single_frequency,131,2,63,0
0,single_frequency,131,2,64,0
0,single_frequency,131,2,65,0
0,single_frequency,131,2,66,0
0,single_frequency,131,2,67,0
0,single_frequency,131,2,68,0
