seed,n_key,n_neurons,n_dead,sum_fve_mean,sum_fve_q25,sum_fve_median,sum_fve_q75,sum_fve_min,sum_fve_max,single_fve_mean,single_fve_q25,single_fve_median,single_fve_q75,single_fve_min,single_fve_max,explained_threshold,n_sum_explained,n_single_explained
0,5,512,0,0.214468511,0.1090757133,0.1698836811,0.3546311416,0.07845138852,0.5830441818,0.8801474816,0.9403260184,0.9661910142,0.9729839276,0.279568891,0.9863192031,0.9,0,393
1,4,512,0,0.1629346735,0.09485812793,0.1596068109,0.1818009273,0.05942211771,0.3781449223,0.9179809306,0.8595865894,0.9434066904,0.9731239084,0.801675009,0.9825015539,0.9,0,304
2,5,512,0,0.2014189325,0.1269735051,0.1670052583,0.2071138388,0.004903441892,0.5559838558,0.7923315872,0.5905654066,0.9559835997,0.9683998132,0.2644611378,0.9862776856,0.9,0,292
3,5,512,1,0.1626109934,0.09215126751,0.1458940214,0.1931064931,0.08786588336,0.4517625135,0.9416631001,0.9567173187,0.968418499,0.9736229793,0.3583792193,0.9850927848,0.9,0,465
4,4,512,0,0.1948012158,0.1410862302,0.182751727,0.2398040065,0.09024310774,0.6302708525,0.8745708615,0.8253000681,0.9452080979,0.9557453914,0.390780528,0.9755742476,0.9,0,354
5,5,512,0,0.177842285,0.09100354908,0.1342755357,0.1995488772,0.04010356337,0.5414843364,0.8409023362,0.7388515573,0.9582508266,0.9744078074,0.3783697798,0.9842396074,0.9,0,334
6,4,512,2,0.1747491113,0.1262965803,0.1740565076,0.1933405906,0.08610260573,0.4156475979,0.9256819885,0.9521471429,0.9612203361,0.9752375502,0.379452321,0.9956075649,0.9,0,450
7,5,512,0,0.1895101508,0.1121580624,0.1208350296,0.196059654,0.08647008745,0.6110397993,0.9115060488,0.9238212826,0.9604949366,0.9717155678,0.3838488103,0.9805049251,0.9,0,441
8,5,512,0,0.1930200109,0.09079153477,0.1592326629,0.1949551889,0.08080887632,0.5729633091,0.9028512067,0.956557062,0.9723931611,0.9749079423,0.289245624,0.9883774798,0.9,0,416
9,5,512,0,0.2019716079,0.1249392894,0.1576489993,0.2010892673,0.04886522863,0.5950968839,0.8929866002,0.8881315466,0.9622573299,0.9699557048,0.3581346589,0.9863086157,0.9,0,383
