seed,n_key,memorization_end,cleanup_start,cleanup_end,restricted_peak,restricted_beats_uniform,test_acc_jump,lead_restricted_beats_uniform,lead_restricted_peak
0,5,1250,5250,6000,151,250,5250,5000,5099
1,4,806,4500,5750,0,151,4500,4349,4500
2,5,1250,5250,7250,151,250,5500,5250,5349
3,5,1000,5000,5750,0,151,5000,4849,5000
4,4,1409,8000,9250,151,250,8000,7750,7849
5,5,1000,4500,5250,151,250,4500,4250,4349
6,4,1409,7500,9750,151,462,7500,7038,7349
7,5,806,7500,8500,50,87,7500,7413,7450
8,5,1250,6500,7250,151,250,6500,6250,6349
9,5,806,13750,15000,0,151,13750,13599,13750
