seed,matrix,frequency,first_step,last_step,n_checkpoints,best_rank
0,W_E,1,0,6250,28,1
0,W_E,11,0,9,6,2
0,W_E,12,750,3250,14,5
0,W_E,13,0,28,8,4
0,W_E,21,0,50,6,3
0,W_E,42,0,28,8,2
0,W_E,51,87,151,2,5
0,W_L,1,50,7506,24,3
0,W_L,4,50,87,2,2
0,W_L,9,28,50,2,5
0,W_L,12,151,2460,15,5
0,W_L,14,0,28,8,2
0,W_L,19,9000,22901,27,5
0,W_L,26,7750,8750,5,5
0,W_L,29,40000,40000,1,5
0,W_L,36,0,28,8,3
0,W_L,44,50,87,2,2
0,W_L,47,0,28,8,1
1,W_E,1,28,87,3,3
1,W_E,3,0,50,9,1
1,W_E,11,0,5,5,4
1,W_E,26,0,28,8,2
1,W_E,47,0,16,7,3
1,W_L,10,0,28,7,3
1,W_L,14,0,87,9,1
1,W_L,39,0,28,8,1
1,W_L,44,50,50,1,3
1,W_L,51,87,500,6,3
1,W_L,52,50,50,1,4
1,W_L,55,16,28,2,1
2,W_E,9,0,50,9,3
2,W_E,13,87,87,1,5
2,W_E,17,0,6000,41,1
2,W_E,26,50,50,1,5
2,W_E,45,87,11250,54,2
2,W_E,46,0,28,8,1
2,W_L,7,0,87,9,3
2,W_L,17,151,5250,28,5
2,W_L,19,28,28,1,3
2,W_L,23,28,28,1,2
2,W_L,32,5,50,4,5
2,W_L,43,0,16,5,4
2,W_L,45,28,11250,56,3
2,W_L,46,0,16,7,1
2,W_L,48,50,50,1,2
2,W_L,50,0,50,9,1
2,W_L,51,0,16,7,3
3,W_E,17,0,87,10,2
3,W_E,20,9,16,2,5
3,W_E,22,0,5,5,5
3,W_E,30,0,50,9,1
3,W_E,43,0,28,8,3
3,W_E,51,0,87,10,1
3,W_L,30,0,16,7,4
3,W_L,34,50,50,1,5
3,W_L,38,0,28,8,5
3,W_L,47,0,50,9,2
3,W_L,48,22901,40000,2,5
3,W_L,51,750,1750,7,4
3,W_L,52,0,87,10,2
3,W_L,53,0,87,10,1
4,W_E,8,0,50,9,1
4,W_E,14,16,16,1,4
4,W_E,38,28,28,1,3
4,W_E,41,9,28,3,3
4,W_E,45,50,50,1,4
4,W_E,51,0,9,6,2
4,W_E,54,0,7000,45,1
4,W_E,55,0,5,5,4
4,W_L,3,0,750,15,2
4,W_L,13,0,28,7,3
4,W_L,29,0,50,4,2
4,W_L,51,0,50,9,1
4,W_L,54,806,4750,20,4
5,W_E,4,462,3250,16,4
5,W_E,7,0,264,9,3
5,W_E,24,0,22901,80,1
5,W_E,34,0,50,9,1
5,W_E,46,0,9,6,5
5,W_E,51,0,87,10,2
5,W_L,3,50,50,1,4
5,W_L,4,50,2500,18,3
5,W_L,7,151,151,1,5
5,W_L,19,0,50,9,1
5,W_L,22,50,50,1,3
5,W_L,24,87,22901,71,2
5,W_L,28,28,28,1,3
5,W_L,32,0,28,8,2
5,W_L,46,87,87,1,5
5,W_L,49,0,16,7,3
5,W_L,50,40000,40000,1,5
5,W_L,56,87,87,1,4
6,W_E,6,87,5000,13,3
6,W_E,16,3,16,4,3
6,W_E,17,0,2,3,3
6,W_E,26,0,50,9,3
6,W_E,29,0,28,8,2
6,W_E,48,50,3000,16,4
6,W_E,56,87,22901,71,3
6,W_L,2,28,28,1,4
6,W_L,6,2250,4750,13,4
6,W_L,17,0,87,10,1
6,W_L,39,22901,22901,1,4
6,W_L,41,0,50,9,2
6,W_L,45,28,28,1,3
6,W_L,46,0,16,7,2
6,W_L,48,50,2000,15,2
6,W_L,50,87,87,1,4
6,W_L,56,0,15000,76,3
7,W_E,6,0,28,8,3
7,W_E,26,28,50,2,3
7,W_E,32,0,16,7,3
7,W_E,34,0,16,7,4
7,W_E,36,0,50,9,1
7,W_E,53,9000,9000,1,5
7,W_E,55,0,8750,53,1
7,W_L,1,1,50,8,1
7,W_L,3,50,87,2,3
7,W_L,10,0,50,9,2
7,W_L,20,0,87,10,2
7,W_L,28,14250,40000,6,5
7,W_L,31,0,28,2,5
7,W_L,32,0,50,9,1
7,W_L,47,10250,14000,17,5
7,W_L,55,151,10000,48,4
8,W_E,5,16,87,4,2
8,W_E,12,0,28,8,3
8,W_E,17,1250,8000,32,5
8,W_E,34,50,50,1,5
8,W_E,38,0,16,7,2
8,W_E,41,0,9,6,5
8,W_L,8,0,9,6,4
8,W_L,12,0,87,10,2
8,W_L,17,87,9500,40,2
8,W_L,19,50,50,1,5
8,W_L,22,16,87,4,1
8,W_L,23,0,2,3,5
8,W_L,24,50,50,1,4
8,W_L,29,0,28,8,1
8,W_L,36,9750,40000,25,5
8,W_L,45,3,1750,13,1
8,W_L,56,0,28,8,2
9,W_E,2,0,28,8,3
9,W_E,26,13500,14750,6,5
9,W_E,29,0,50,9,2
9,W_E,30,87,13250,63,3
9,W_E,31,2,9,4,5
9,W_E,41,0,264,13,1
9,W_E,45,50,15000,24,3
9,W_E,50,0,16,3,5
9,W_L,2,0,28,8,2
9,W_L,7,0,500,15,2
9,W_L,8,87,87,1,5
9,W_L,20,0,50,8,4
9,W_L,21,462,5500,26,3
9,W_L,25,0,87,10,1
9,W_L,26,13750,15000,6,5
9,W_L,30,0,13500,52,3
9,W_L,41,28,264,6,3
