seed,matrix,frequency,rank_at_init,lock_in_step
0,W_E,5,18,50
0,W_E,17,24,50
0,W_E,24,6,3
0,W_E,34,55,6500
0,W_E,50,39,250
0,W_L,5,50,151
0,W_L,17,12,87
0,W_L,24,4,0
0,W_L,34,55,
0,W_L,50,3,87
1,W_E,5,50,87
1,W_E,17,37,50
1,W_E,32,8,9
1,W_E,48,14,151
1,W_L,5,15,87
1,W_L,17,50,87
1,W_L,32,53,750
1,W_L,48,4,151
2,W_E,4,2,0
2,W_E,5,54,151
2,W_E,20,52,6250
2,W_E,27,3,0
2,W_E,40,6,11500
2,W_L,4,17,87
2,W_L,5,11,87
2,W_L,20,9,5500
2,W_L,27,36,87
2,W_L,40,13,11500
3,W_E,6,10,87
3,W_E,21,35,50
3,W_E,25,33,151
3,W_E,26,27,50
3,W_E,44,40,151
3,W_L,6,15,87
3,W_L,21,29,87
3,W_L,25,36,
3,W_L,26,7,151
3,W_L,44,8,2000
4,W_E,21,27,87
4,W_E,33,13,7250
4,W_E,46,43,151
4,W_E,56,42,87
4,W_L,21,32,87
4,W_L,33,5,5000
4,W_L,46,21,87
4,W_L,56,49,87
5,W_E,5,6,9
5,W_E,29,29,40000
5,W_E,42,7,3500
5,W_E,45,33,151
5,W_E,48,21,87
5,W_L,5,13,1250
5,W_L,29,41,
5,W_L,42,25,2750
5,W_L,45,5,151
5,W_L,48,4,0
6,W_E,4,1,0
6,W_E,5,7,28
6,W_E,8,45,40000
6,W_E,35,12,5250
6,W_L,4,55,151
6,W_L,5,18,50
6,W_L,8,44,40000
6,W_L,35,49,5000
7,W_E,14,14,28
7,W_E,23,28,9250
7,W_E,30,15,50
7,W_E,33,24,87
7,W_E,45,32,87
7,W_L,14,4,87
7,W_L,23,15,
7,W_L,30,17,87
7,W_L,33,31,87
7,W_L,45,16,151
8,W_E,3,3,0
8,W_E,6,10,8250
8,W_E,21,36,50
8,W_E,26,1,0
8,W_E,51,24,87
8,W_L,3,48,151
8,W_L,6,46,
8,W_L,21,24,151
8,W_L,26,25,87
8,W_L,51,32,87
9,W_E,17,4,0
9,W_E,19,37,4000
9,W_E,34,11,28
9,W_E,51,38,22901
9,W_E,56,33,462
9,W_L,17,6,151
9,W_L,19,40,1500
9,W_L,34,25,50
9,W_L,51,14,22901
9,W_L,56,39,750
