matrix,step,observed_mean_rank,null_mean_rank,null_sd,p_value,n_frequencies,n_draws
W_E,0,23.5957,28.5083,2.26568,0.0137986,47,10000
W_E,1,23.5106,28.5088,2.26683,0.0119988,47,10000
W_E,2,23.4043,28.5088,2.26782,0.0108989,47,10000
W_E,3,23.2979,28.5092,2.26804,0.009999,47,10000
W_E,5,23.0213,28.5096,2.26959,0.00729927,47,10000
W_E,9,22.4043,28.512,2.27328,0.0029997,47,10000
W_E,16,20.4894,28.5153,2.27708,0.00019998,47,10000
W_E,28,16.0638,28.5194,2.283,9.999e-05,47,10000
W_E,50,12.0213,28.5164,2.28112,9.999e-05,47,10000
W_E,87,10.2766,28.5116,2.2648,9.999e-05,47,10000
W_E,151,8.42553,28.5156,2.26329,9.999e-05,47,10000
W_E,250,8.2766,28.5139,2.26423,9.999e-05,47,10000
W_E,264,8.2766,28.5138,2.26444,9.999e-05,47,10000
W_E,462,8.23404,28.5105,2.26421,9.999e-05,47,10000
W_E,500,8.21277,28.5097,2.26293,9.999e-05,47,10000
W_E,750,8.08511,28.5103,2.26238,9.999e-05,47,10000
W_E,806,8.08511,28.5094,2.26208,9.999e-05,47,10000
W_E,1000,7.95745,28.5099,2.26465,9.999e-05,47,10000
W_E,1250,8,28.5074,2.2657,9.999e-05,47,10000
W_E,1409,8.02128,28.5062,2.26462,9.999e-05,47,10000
W_E,1500,8.06383,28.5058,2.26484,9.999e-05,47,10000
W_E,1750,8.06383,28.5041,2.26517,9.999e-05,47,10000
W_E,2000,8.08511,28.5034,2.26694,9.999e-05,47,10000
W_E,2250,8.06383,28.5022,2.26674,9.999e-05,47,10000
W_E,2460,8.08511,28.5,2.268,9.999e-05,47,10000
W_E,2500,8.10638,28.5001,2.26833,9.999e-05,47,10000
W_E,2750,8.06383,28.5013,2.26751,9.999e-05,47,10000
W_E,3000,8.08511,28.5015,2.26736,9.999e-05,47,10000
W_E,3250,8.06383,28.5012,2.2684,9.999e-05,47,10000
W_E,3500,8.02128,28.5012,2.26844,9.999e-05,47,10000
W_E,3750,8,28.5041,2.26759,9.999e-05,47,10000
W_E,4000,7.89362,28.5046,2.26621,9.999e-05,47,10000
W_E,4250,7.78723,28.5062,2.26678,9.999e-05,47,10000
W_E,4297,7.74468,28.5056,2.26762,9.999e-05,47,10000
W_E,4500,7.76596,28.5062,2.26889,9.999e-05,47,10000
W_E,4750,7.65957,28.5076,2.2697,9.999e-05,47,10000
W_E,5000,7.3617,28.5084,2.26993,9.999e-05,47,10000
W_E,5250,6.93617,28.5049,2.26975,9.999e-05,47,10000
W_E,5500,6.6383,28.5035,2.27062,9.999e-05,47,10000
W_E,5750,6.40426,28.5005,2.27633,9.999e-05,47,10000
W_E,6000,6.19149,28.4968,2.28294,9.999e-05,47,10000
W_E,6250,6.02128,28.4929,2.28635,9.999e-05,47,10000
W_E,6500,5.76596,28.4887,2.28673,9.999e-05,47,10000
W_E,6750,5.42553,28.4874,2.28449,9.999e-05,47,10000
W_E,7000,5.19149,28.4872,2.28243,9.999e-05,47,10000
W_E,7250,5.02128,28.4884,2.27923,9.999e-05,47,10000
W_E,7500,4.74468,28.4925,2.28043,9.999e-05,47,10000
W_E,7506,4.74468,28.4925,2.28042,9.999e-05,47,10000
W_E,7750,4.51064,28.4941,2.27616,9.999e-05,47,10000
W_E,8000,4.17021,28.496,2.2758,9.999e-05,47,10000
W_E,8250,3.97872,28.4935,2.27434,9.999e-05,47,10000
W_E,8500,3.93617,28.4907,2.2788,9.999e-05,47,10000
W_E,8750,3.85106,28.4898,2.28261,9.999e-05,47,10000
W_E,9000,3.80851,28.4926,2.28604,9.999e-05,47,10000
W_E,9250,3.80851,28.4956,2.28869,9.999e-05,47,10000
W_E,9500,3.80851,28.4998,2.2934,9.999e-05,47,10000
W_E,9750,3.80851,28.5035,2.29393,9.999e-05,47,10000
W_E,10000,3.78723,28.5084,2.29182,9.999e-05,47,10000
W_E,10250,3.74468,28.5082,2.2889,9.999e-05,47,10000
W_E,10500,3.7234,28.5076,2.29071,9.999e-05,47,10000
W_E,10750,3.7234,28.5067,2.29099,9.999e-05,47,10000
W_E,11000,3.65957,28.5068,2.29217,9.999e-05,47,10000
W_E,11250,3.65957,28.5063,2.28845,9.999e-05,47,10000
W_E,11500,3.6383,28.5049,2.28886,9.999e-05,47,10000
W_E,11750,3.6383,28.5038,2.28837,9.999e-05,47,10000
W_E,12000,3.6383,28.5049,2.28756,9.999e-05,47,10000
W_E,12250,3.6383,28.5048,2.2841,9.999e-05,47,10000
W_E,12500,3.6383,28.5042,2.2839,9.999e-05,47,10000
W_E,12750,3.61702,28.5036,2.28144,9.999e-05,47,10000
W_E,13000,3.59574,28.5058,2.27846,9.999e-05,47,10000
W_E,13111,3.59574,28.5062,2.27897,9.999e-05,47,10000
W_E,13250,3.59574,28.5059,2.27809,9.999e-05,47,10000
W_E,13500,3.65957,28.5078,2.27677,9.999e-05,47,10000
W_E,13750,3.68085,28.5086,2.27445,9.999e-05,47,10000
W_E,14000,3.70213,28.5122,2.27268,9.999e-05,47,10000
W_E,14250,3.68085,28.5132,2.27022,9.999e-05,47,10000
W_E,14500,3.68085,28.5151,2.26819,9.999e-05,47,10000
W_E,14750,3.65957,28.5162,2.26675,9.999e-05,47,10000
W_E,15000,3.65957,28.5174,2.26608,9.999e-05,47,10000
W_E,22901,2.91489,28.5252,2.26746,9.999e-05,47,10000
W_E,40000,2.87234,28.51,2.29103,9.999e-05,47,10000
W_L,0,24.8936,28.4509,2.26091,0.0580942,47,10000
W_L,1,24.8511,28.4523,2.26195,0.0552945,47,10000
W_L,2,24.8298,28.4524,2.26261,0.0545945,47,10000
W_L,3,24.8936,28.4529,2.26272,0.0580942,47,10000
W_L,5,24.8298,28.453,2.26185,0.0530947,47,10000
W_L,9,24.5532,28.4515,2.25847,0.0407959,47,10000
W_L,16,24.2553,28.4537,2.25557,0.0311969,47,10000
W_L,28,24.0426,28.4606,2.25511,0.0256974,47,10000
W_L,50,21.4043,28.4742,2.25165,0.00109989,47,10000
W_L,87,10.5106,28.4835,2.25201,9.999e-05,47,10000
W_L,151,8.80851,28.4805,2.25504,9.999e-05,47,10000
W_L,250,8.65957,28.4838,2.25625,9.999e-05,47,10000
W_L,264,8.59574,28.4842,2.25629,9.999e-05,47,10000
W_L,462,8.31915,28.4912,2.2555,9.999e-05,47,10000
W_L,500,8.14894,28.491,2.25412,9.999e-05,47,10000
W_L,750,7.89362,28.4963,2.25611,9.999e-05,47,10000
W_L,806,7.93617,28.4973,2.256,9.999e-05,47,10000
W_L,1000,7.89362,28.4959,2.25381,9.999e-05,47,10000
W_L,1250,7.93617,28.4964,2.25319,9.999e-05,47,10000
W_L,1409,7.91489,28.4959,2.25476,9.999e-05,47,10000
W_L,1500,7.89362,28.4946,2.25432,9.999e-05,47,10000
W_L,1750,7.87234,28.4945,2.25483,9.999e-05,47,10000
W_L,2000,7.93617,28.4934,2.25465,9.999e-05,47,10000
W_L,2250,8.06383,28.4948,2.25571,9.999e-05,47,10000
W_L,2460,8.02128,28.4919,2.25542,9.999e-05,47,10000
W_L,2500,8.04255,28.4918,2.25554,9.999e-05,47,10000
W_L,2750,8.17021,28.4896,2.25572,9.999e-05,47,10000
W_L,3000,8.2766,28.4869,2.25687,9.999e-05,47,10000
W_L,3250,8.3617,28.4872,2.25752,9.999e-05,47,10000
W_L,3500,8.40426,28.4869,2.25858,9.999e-05,47,10000
W_L,3750,8.55319,28.4884,2.25961,9.999e-05,47,10000
W_L,4000,8.6383,28.4889,2.25798,9.999e-05,47,10000
W_L,4250,8.61702,28.4888,2.25838,9.999e-05,47,10000
W_L,4297,8.61702,28.489,2.25817,9.999e-05,47,10000
W_L,4500,8.6383,28.4912,2.25873,9.999e-05,47,10000
W_L,4750,8.76596,28.4908,2.26005,9.999e-05,47,10000
W_L,5000,8.74468,28.491,2.26086,9.999e-05,47,10000
W_L,5250,8.53191,28.4899,2.26263,9.999e-05,47,10000
W_L,5500,8.42553,28.4875,2.26257,9.999e-05,47,10000
W_L,5750,8.29787,28.4827,2.26177,9.999e-05,47,10000
W_L,6000,8.2766,28.4801,2.2632,9.999e-05,47,10000
W_L,6250,8.3617,28.4775,2.26119,9.999e-05,47,10000
W_L,6500,8.40426,28.4778,2.25253,9.999e-05,47,10000
W_L,6750,8.57447,28.4765,2.2451,9.999e-05,47,10000
W_L,7000,8.48936,28.4721,2.24069,9.999e-05,47,10000
W_L,7250,7.42553,28.4715,2.23404,9.999e-05,47,10000
W_L,7500,7.25532,28.4697,2.23202,9.999e-05,47,10000
W_L,7506,7.25532,28.4699,2.23203,9.999e-05,47,10000
W_L,7750,7.08511,28.4702,2.23666,9.999e-05,47,10000
W_L,8000,6.85106,28.4755,2.2422,9.999e-05,47,10000
W_L,8250,6.68085,28.4819,2.23997,9.999e-05,47,10000
W_L,8500,6.31915,28.4848,2.23884,9.999e-05,47,10000
W_L,8750,6,28.4956,2.23966,9.999e-05,47,10000
W_L,9000,6.04255,28.4971,2.23874,9.999e-05,47,10000
W_L,9250,6.2766,28.5013,2.23456,9.999e-05,47,10000
W_L,9500,6.53191,28.504,2.23799,9.999e-05,47,10000
W_L,9750,6.55319,28.5053,2.23856,9.999e-05,47,10000
W_L,10000,6.55319,28.5095,2.24286,9.999e-05,47,10000
W_L,10250,6.57447,28.5066,2.24439,9.999e-05,47,10000
W_L,10500,6.42553,28.5065,2.25054,9.999e-05,47,10000
W_L,10750,6.34043,28.5063,2.25617,9.999e-05,47,10000
W_L,11000,6.21277,28.5037,2.2626,9.999e-05,47,10000
W_L,11250,6.10638,28.5026,2.26672,9.999e-05,47,10000
W_L,11500,6.02128,28.5039,2.26687,9.999e-05,47,10000
W_L,11750,6.02128,28.5067,2.26781,9.999e-05,47,10000
W_L,12000,6,28.5089,2.26627,9.999e-05,47,10000
W_L,12250,6.06383,28.5113,2.26608,9.999e-05,47,10000
W_L,12500,6.08511,28.5136,2.26655,9.999e-05,47,10000
W_L,12750,6.12766,28.5143,2.27021,9.999e-05,47,10000
W_L,13000,6.17021,28.5153,2.27143,9.999e-05,47,10000
W_L,13111,6.17021,28.515,2.27215,9.999e-05,47,10000
W_L,13250,6.17021,28.5127,2.27485,9.999e-05,47,10000
W_L,13500,6.19149,28.5145,2.27833,9.999e-05,47,10000
W_L,13750,6.21277,28.5166,2.27933,9.999e-05,47,10000
W_L,14000,6.19149,28.5154,2.27834,9.999e-05,47,10000
W_L,14250,6.12766,28.5145,2.2766,9.999e-05,47,10000
