seed,step,matrix,const,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56
0,0,W_E,0.00861688,0.0208239,0.018886,0.0190313,0.0192637,0.0185478,0.0188613,0.0182128,0.0173602,0.0171494,0.0175999,0.0204295,0.0160893,0.0198507,0.0167404,0.0171123,0.0161606,0.0181468,0.0179501,0.0179303,0.0177594,0.019768,0.0171466,0.018936,0.0196758,0.0185551,0.0167348,0.0184635,0.0192991,0.0186037,0.0170273,0.0193912,0.0160464,0.0168197,0.0149628,0.0187756,0.0163354,0.0183669,0.0167371,0.0169118,0.0146532,0.0165966,0.0203156,0.0183585,0.0170166,0.0175545,0.0151569,0.0175484,0.0177676,0.0153003,0.0168958,0.0192481,0.0182837,0.0158239,0.0155896,0.0162361,0.0165753
0,0,W_L,0.00736894,0.0189517,0.0170954,0.0154115,0.0191972,0.0156922,0.0176633,0.0176281,0.0155917,0.019504,0.0125562,0.01733,0.0190636,0.0167591,0.0206312,0.0162516,0.0169871,0.0190991,0.0173923,0.0160669,0.0186372,0.0148105,0.0163841,0.0153808,0.0202915,0.0189868,0.0158755,0.0189868,0.0169476,0.0188968,0.0167234,0.0168707,0.0168197,0.0196874,0.0142787,0.0177191,0.0202655,0.0177768,0.017346,0.0187308,0.0187421,0.0182335,0.0160725,0.0178444,0.0193155,0.0185298,0.0170645,0.0207768,0.0179761,0.0193712,0.0204127,0.0194932,0.0170937,0.0182989,0.0175962,0.0177113,0.017811
0,1,W_E,0.00854336,0.0208463,0.0188785,0.0190166,0.019246,0.01854,0.018857,0.0182096,0.0173754,0.0171489,0.0175723,0.020393,0.0161665,0.0198542,0.0167476,0.0171121,0.0162175,0.0181873,0.0179482,0.0179434,0.0177533,0.019754,0.0171307,0.0189126,0.0197112,0.0185681,0.016747,0.018462,0.0192776,0.0185845,0.017023,0.019394,0.0160331,0.0168228,0.0149238,0.0187465,0.0163315,0.0183545,0.016756,0.0169184,0.014667,0.0165796,0.0203555,0.0183852,0.0169887,0.0175372,0.0151511,0.0175652,0.0177753,0.0152892,0.0169146,0.019263,0.0182894,0.0158384,0.0156033,0.0162341,0.0165547
0,1,W_L,0.0073691,0.0189894,0.0171346,0.0154407,0.019234,0.015733,0.0176415,0.0176221,0.0155687,0.0195395,0.0125592,0.0173571,0.0191059,0.0167265,0.0206448,0.0162904,0.0170074,0.0190759,0.0173711,0.0159482,0.0186587,0.0147916,0.016353,0.0153909,0.020317,0.0189605,0.0158955,0.0190109,0.016932,0.018913,0.0167273,0.0169101,0.0167791,0.0196953,0.0142595,0.0177702,0.0202729,0.0177896,0.0173201,0.0187267,0.0187532,0.018228,0.0160787,0.0178182,0.0193287,0.0185392,0.0170602,0.0207749,0.0180032,0.0194311,0.0203513,0.0194483,0.0170572,0.0182329,0.0176033,0.0176501,0.0178085
0,2,W_E,0.0084996,0.0208817,0.0188708,0.019003,0.019218,0.0185303,0.0188444,0.0182015,0.0173855,0.017151,0.0175509,0.0203598,0.016227,0.0198568,0.0167521,0.0171152,0.0162683,0.0182139,0.0179368,0.0179536,0.0177605,0.0197368,0.0171245,0.0189197,0.0197332,0.0185852,0.0167569,0.0184418,0.0192631,0.0185588,0.0170084,0.0193762,0.0160145,0.0168335,0.0148928,0.0187299,0.0163363,0.0183367,0.0167762,0.0169176,0.0146931,0.0165556,0.020387,0.018411,0.0169638,0.0175093,0.0151403,0.017576,0.017782,0.0152924,0.0169397,0.0192806,0.0183036,0.01586,0.0156194,0.0162335,0.0165301
0,2,W_L,0.00736268,0.0190133,0.0171624,0.0154643,0.0192704,0.0157684,0.0176333,0.0176284,0.015545,0.0195498,0.0125661,0.017367,0.0191227,0.0167267,0.020637,0.0163273,0.0170269,0.0190582,0.0173421,0.0158673,0.0186851,0.0147653,0.0163413,0.0153883,0.0203372,0.0189487,0.0159273,0.0190375,0.0169191,0.0189204,0.016722,0.0169476,0.0167213,0.019704,0.0142606,0.0177999,0.0202879,0.0177954,0.01729,0.0187377,0.0187532,0.0182112,0.0160772,0.0177926,0.0193186,0.0185443,0.0170489,0.0207783,0.0180117,0.0194798,0.0203222,0.0194189,0.0170354,0.0181876,0.017621,0.0176209,0.0178026
0,3,W_E,0.00846532,0.02091,0.0188587,0.0189933,0.0191936,0.018524,0.0188248,0.0181885,0.017403,0.0171476,0.0175323,0.0203223,0.0162888,0.0198568,0.0167582,0.0171169,0.016314,0.0182388,0.0179254,0.0179674,0.0177702,0.0197302,0.0171167,0.0189356,0.0197478,0.0186023,0.0167667,0.0184139,0.0192473,0.0185273,0.0169974,0.0193589,0.0159959,0.0168419,0.0148602,0.0187197,0.0163363,0.0183181,0.0167999,0.0169118,0.0147204,0.0165309,0.0204102,0.0184294,0.0169381,0.0174856,0.0151301,0.0175933,0.0177846,0.0153047,0.016979,0.0192953,0.0183054,0.0158881,0.0156359,0.016234,0.0165075
0,3,W_L,0.0073583,0.0190351,0.0171863,0.0154853,0.0192974,0.0157971,0.0176163,0.0176367,0.0155294,0.0195534,0.0125764,0.0173724,0.0191335,0.0167406,0.0206225,0.0163667,0.0170436,0.0190491,0.0173065,0.0158168,0.0187119,0.0147443,0.0163399,0.0153752,0.0203571,0.0189374,0.015961,0.0190555,0.016917,0.0189203,0.0167174,0.0169826,0.0166661,0.0197014,0.0142672,0.0178207,0.0202966,0.0177942,0.0172515,0.0187454,0.0187477,0.018188,0.0160694,0.017776,0.0193006,0.0185447,0.017035,0.0207848,0.0180131,0.0195189,0.0202971,0.0193963,0.0170296,0.018158,0.0176458,0.0176159,0.0177933
0,5,W_E,0.00841871,0.0209492,0.0188115,0.0189705,0.0191638,0.0185273,0.0187792,0.0181583,0.0174392,0.0171438,0.0174932,0.020252,0.0164023,0.0198633,0.0167637,0.0171143,0.0164006,0.0182985,0.0179219,0.017994,0.0177849,0.0197259,0.017101,0.0189731,0.0197762,0.0186462,0.0167959,0.0183513,0.0192181,0.0184617,0.0169593,0.0193257,0.015953,0.0168475,0.0148106,0.0187016,0.016327,0.0182682,0.0168387,0.0168921,0.0147693,0.0164834,0.0204311,0.0184614,0.0168881,0.0174535,0.0151127,0.0176481,0.0177941,0.0153256,0.0170673,0.0193275,0.0182945,0.0159481,0.015676,0.0162317,0.016464
0,5,W_L,0.00735364,0.0190731,0.0172407,0.0155277,0.0193114,0.0158369,0.017559,0.0176728,0.015492,0.01956,0.0125963,0.0173681,0.0191377,0.0167801,0.020587,0.0164667,0.0170614,0.0190617,0.017236,0.0157728,0.0187598,0.0147087,0.01635,0.0153353,0.0203766,0.0188949,0.0160136,0.019067,0.0169301,0.0188983,0.0167091,0.0170491,0.0165924,0.0196926,0.0142911,0.0178573,0.0203153,0.0177831,0.0171828,0.0187595,0.0187254,0.0181395,0.016047,0.0177623,0.0192532,0.0185587,0.0170197,0.020805,0.0180158,0.0195485,0.0202378,0.0193724,0.0170241,0.0181247,0.0176912,0.0176359,0.0177772
