seed,step,n_key,key_share_W_E,overlap_W_E,mean_key_rank_W_E,top_W_E,key_share_W_L,overlap_W_L,mean_key_rank_W_L,top_W_L,restricted_loss_test_own,restricted_acc_test_own
0,0,5,0.08822902973,0,28.4,1 11 13 21 42,0.08977410204,2,24.8,14 24 36 47 50,4.772681307,0.008278330909
0,1,5,0.0882769091,0,28.4,1 11 13 21 42,0.08973672807,2,25,14 24 36 47 50,4.750819076,0.007495245553
0,2,5,0.08830991089,0,28,1 11 13 21 42,0.08974666302,2,25,14 24 36 47 50,4.744423166,0.007495245553
0,3,5,0.08834986456,1,27.6,1 11 13 24 42,0.08976751521,2,25.2,14 24 36 47 50,4.744642199,0.008613938919
0,5,5,0.08847983742,1,26.8,1 11 13 24 42,0.08980409124,2,25.4,14 24 36 47 50,4.750873146,0.00760711489
0,9,5,0.08887415382,1,25.8,1 11 13 24 42,0.09001957489,2,25,14 24 36 47 50,4.755372902,0.00760711489
0,16,5,0.08994937996,1,24.2,1 13 21 24 42,0.09084081799,2,23.6,14 24 36 47 50,4.754573387,0.007495245553
0,28,5,0.09240557989,1,19.2,1 13 21 24 42,0.09293373882,1,22.8,9 14 24 36 47,4.754037409,0.00760711489
0,50,5,0.09594215676,3,17.2,1 5 17 21 24,0.09495458567,1,19.8,1 4 9 24 44,4.758970638,0.00760711489
0,87,5,0.1053297199,3,13.8,1 5 17 24 51,0.1079797929,3,12.8,4 17 24 44 50,4.775719472,0.02405190737
0,151,5,0.1224122884,3,12.2,1 5 17 24 51,0.1365832921,4,12.8,5 12 17 24 50,4.82138243,0.04922250811
0,250,5,0.1281305758,4,11.8,1 5 17 24 50,0.1443481797,4,13,5 12 17 24 50,4.383674987,0.09878062423
0,264,5,0.1288038238,4,11.8,1 5 17 24 50,0.1453786897,4,13,5 12 17 24 50,4.341232543,0.1072826938
0,462,5,0.137711458,4,11.8,1 5 17 24 50,0.1599477785,4,12.8,5 12 17 24 50,3.86417315,0.1676921356
0,500,5,0.1393444042,4,11.8,1 5 17 24 50,0.1627615335,4,12.8,5 12 17 24 50,3.784335489,0.1942051684
0,750,5,0.1497372682,4,11.2,5 12 17 24 50,0.1805648778,4,12.2,5 12 17 24 50,3.281620434,0.2708356639
0,806,5,0.1520008666,4,11.2,5 12 17 24 50,0.184577166,4,12.2,5 12 17 24 50,3.190251818,0.2708356639
0,1000,5,0.1595529805,4,11.2,5 12 17 24 50,0.1983645219,4,12,5 12 17 24 50,2.910786006,0.3316925831
0,1250,5,0.1683975348,4,11.4,5 12 17 24 50,0.2154737806,4,11.8,5 12 17 24 50,2.582027838,0.3761047097
0,1409,5,0.1737721683,4,11.6,5 12 17 24 50,0.2257698626,4,12,5 12 17 24 50,2.37076926,0.3857254726
0,1500,5,0.1768401452,4,11.6,5 12 17 24 50,0.2314648291,4,11.8,5 12 17 24 50,2.262144703,0.4036245665
0,1750,5,0.1850572692,4,11.6,5 12 17 24 50,0.2474053568,4,11.6,5 12 17 24 50,2.010901224,0.4390871462
0,2000,5,0.1931764979,4,11.6,5 12 17 24 50,0.2639984413,4,11.8,5 12 17 24 50,1.783230299,0.4953574225
0,2250,5,0.201711095,4,11.4,5 12 17 24 50,0.2816034304,4,11.8,5 12 17 24 50,1.567714188,0.5309318716
0,2460,5,0.2095462552,4,11.2,5 12 17 24 50,0.297131976,4,11.4,5 12 17 24 50,1.399646065,0.5770220383
0,2500,5,0.2111118807,4,11.2,5 12 17 24 50,0.3001829935,4,11.4,1 5 17 24 50,1.368230426,0.5858597159
0,2750,5,0.2212206365,4,11.2,5 12 17 24 50,0.3201611623,4,11.4,1 5 17 24 50,1.19238358,0.6016332923
0,3000,5,0.2321338156,4,11.2,5 12 17 24 50,0.3420264045,4,11.6,1 5 17 24 50,1.036509882,0.6193086475
0,3250,5,0.24402135,4,11,5 12 17 24 50,0.3662399073,4,11.6,1 5 17 24 50,0.8978049742,0.6289294104
0,3500,5,0.2576881652,4,11,1 5 17 24 50,0.3937478375,4,12,1 5 17 24 50,0.5884596027,0.7614945743
0,3750,5,0.2729339081,4,11,1 5 17 24 50,0.4241946295,4,12,1 5 17 24 50,0.4805375059,0.8214565388
0,4000,5,0.2900033869,4,10.8,1 5 17 24 50,0.4572031842,4,12,1 5 17 24 50,0.3753582719,0.8688891375
0,4250,5,0.3096185337,4,10.4,1 5 17 24 50,0.4926863245,4,12,1 5 17 24 50,0.2659954265,0.9158742589
0,4297,5,0.3136320117,4,10.2,1 5 17 24 50,0.4997289599,4,11.8,1 5 17 24 50,0.2460519992,0.9250475445
0,4500,5,0.3323990216,4,10.4,1 5 17 24 50,0.5317585646,4,11.8,1 5 17 24 50,0.1599016685,0.9533504866
0,4750,5,0.3589088131,4,10.4,1 5 17 24 50,0.5758155569,4,11.8,1 5 17 24 50,0.07167834996,0.9904911064
0,5000,5,0.391649928,4,10,1 5 17 24 50,0.6288294762,4,11.4,1 5 17 24 50,0.01784991905,1
0,5250,5,0.4340893831,4,7.8,1 5 17 24 50,0.7013756938,4,10.2,1 5 17 24 50,0.0009243999442,1
0,5500,5,0.4867426379,4,6.6,1 5 17 24 50,0.7881346006,4,10.2,1 5 17 24 50,8.811228613e-06,1
0,5750,5,0.5435784643,4,4.8,1 5 17 24 50,0.8632757597,4,10.2,1 5 17 24 50,1.991112755e-07,1
0,6000,5,0.6048806184,4,3.8,1 5 17 24 50,0.9177101922,4,10.4,1 5 17 24 50,3.070260205e-08,1
0,6250,5,0.6717910207,4,3.6,1 5 17 24 50,0.9549841204,4,10.4,1 5 17 24 50,1.870280579e-08,1
0,6500,5,0.7379534937,5,3,5 17 24 34 50,0.9778713721,4,10,1 5 17 24 50,2.234070064e-08,1
0,6750,5,0.7941560716,5,3,5 17 24 34 50,0.9897687629,4,10.2,1 5 17 24 50,3.192525081e-08,1
0,7000,5,0.8375890306,5,3,5 17 24 34 50,0.9951496623,4,9.2,1 5 17 24 50,4.367220473e-08,1
0,7250,5,0.8702892049,5,3,5 17 24 34 50,0.9974427757,4,6,1 5 17 24 50,5.162235355e-08,1
0,7500,5,0.8949269983,5,3,5 17 24 34 50,0.9984124903,4,4.8,1 5 17 24 50,5.584892908e-08,1
0,7506,5,0.8954377929,5,3,5 17 24 34 50,0.9984269863,4,4.8,1 5 17 24 50,5.591692765e-08,1
0,7750,5,0.913618439,5,3,5 17 24 34 50,0.9988251502,4,4.8,5 17 24 26 50,5.77564983e-08,1
0,8000,5,0.9279625451,5,3,5 17 24 34 50,0.9989972591,4,3.8,5 17 24 26 50,5.846010266e-08,1
0,8250,5,0.939056929,5,3,5 17 24 34 50,0.9990647265,4,3.8,5 17 24 26 50,5.871127372e-08,1
0,8500,5,0.9477535043,5,3,5 17 24 34 50,0.9990861944,4,3.6,5 17 24 26 50,5.877008707e-08,1
0,8750,5,0.9546483765,5,3,5 17 24 34 50,0.9990851757,4,3.6,5 17 24 26 50,5.874472329e-08,1
0,9000,5,0.9601967357,5,3,5 17 24 34 50,0.9990741955,4,3.6,5 17 19 24 50,5.86735456e-08,1
0,9250,5,0.9647116319,5,3,5 17 24 34 50,0.9990569549,4,3.6,5 17 19 24 50,5.860885567e-08,1
0,9500,5,0.9684262348,5,3,5 17 24 34 50,0.9990371643,4,3.6,5 17 19 24 50,5.859948774e-08,1
0,9750,5,0.9715269574,5,3,5 17 24 34 50,0.9990154967,4,3.6,5 17 19 24 50,5.861637846e-08,1
0,10000,5,0.9741313867,5,3,5 17 24 34 50,0.998992728,4,3.6,5 17 19 24 50,5.864459185e-08,1
0,10250,5,0.9763213905,5,3,5 17 24 34 50,0.9989704908,4,3.6,5 17 19 24 50,5.86721646e-08,1
0,10500,5,0.9781690034,5,3,5 17 24 34 50,0.9989464358,4,3.6,5 17 19 24 50,5.871995228e-08,1
0,10750,5,0.9797351796,5,3,5 17 24 34 50,0.9989206963,4,3.6,5 17 19 24 50,5.878303991e-08,1
0,11000,5,0.9810807787,5,3,5 17 24 34 50,0.9988944627,4,3.6,5 17 19 24 50,5.887226586e-08,1
0,11250,5,0.9822405623,5,3,5 17 24 34 50,0.9988685644,4,3.8,5 17 19 24 50,5.896416103e-08,1
0,11500,5,0.9832434769,5,3,5 17 24 34 50,0.9988432464,4,4,5 17 19 24 50,5.906035618e-08,1
0,11750,5,0.984119358,5,3,5 17 24 34 50,0.9988174569,4,4,5 17 19 24 50,5.915154783e-08,1
0,12000,5,0.9848801321,5,3,5 17 24 34 50,0.9987921604,4,4,5 17 19 24 50,5.922497089e-08,1
0,12250,5,0.985545639,5,3,5 17 24 34 50,0.9987679002,4,4.2,5 17 19 24 50,5.930525857e-08,1
0,12500,5,0.9861250037,5,3,5 17 24 34 50,0.9987448114,4,4.2,5 17 19 24 50,5.938227136e-08,1
0,12750,5,0.9866416375,5,3,5 17 24 34 50,0.9987225405,4,4.2,5 17 19 24 50,5.947237817e-08,1
0,13000,5,0.9870958654,5,3,5 17 24 34 50,0.9987021721,4,4.2,5 17 19 24 50,5.957330992e-08,1
0,13111,5,0.9872815168,5,3,5 17 24 34 50,0.9986935156,4,4.2,5 17 19 24 50,5.961405922e-08,1
0,13250,5,0.9874974309,5,3,5 17 24 34 50,0.9986830662,4,4.2,5 17 19 24 50,5.965579178e-08,1
0,13500,5,0.9878486845,5,3,5 17 24 34 50,0.9986647454,4,4.2,5 17 19 24 50,5.971950136e-08,1
0,13750,5,0.9881681479,5,3,5 17 24 34 50,0.9986473778,4,4.2,5 17 19 24 50,5.979123978e-08,1
0,14000,5,0.9884552819,5,3,5 17 24 34 50,0.998630633,4,4.4,5 17 19 24 50,5.986194135e-08,1
0,14250,5,0.9887121527,5,3,5 17 24 34 50,0.9986139562,4,4.4,5 17 19 24 50,5.992679756e-08,1
0,14500,5,0.9889393502,5,3,5 17 24 34 50,0.9985991157,4,4.6,5 17 19 24 50,5.999016325e-08,1
0,14750,5,0.9891429088,5,3,5 17 24 34 50,0.9985851662,4,4.6,5 17 19 24 50,6.004548435e-08,1
0,15000,5,0.9893287038,5,3,5 17 24 34 50,0.9985721344,4,4.8,5 17 19 24 50,6.00911739e-08,1
0,22901,5,0.9916646766,5,3,5 17 24 34 50,0.9983502387,4,5,5 17 19 24 50,6.081289933e-08,1
0,40000,5,0.9888775676,5,3,5 17 24 34 50,0.9982681503,4,5.8,5 17 24 29 50,5.367620268e-08,1
1,0,4,0.07160543276,0,27.25,3 11 26 47,0.069641439,1,30.5,10 14 39 48,4.775331781,0.008613938919
1,1,4,0.07165594301,0,27.25,3 11 26 47,0.06964725281,1,30.5,10 14 39 48,4.754527496,0.009620762949
1,2,4,0.07168824115,0,27,3 11 26 47,0.06968058256,1,30.5,10 14 39 48,4.749292002,0.00760711489
1,3,4,0.07172330462,0,26.75,3 11 26 47,0.06970233093,1,30.5,10 14 39 48,4.749055789,0.00760711489
1,5,4,0.07182395731,0,27,3 11 26 47,0.06971163022,1,30.75,10 14 39 48,4.750549961,0.00760711489
1,9,4,0.07209690634,1,25.5,3 26 32 47,0.06974696143,1,30.75,10 14 39 48,4.753216653,0.008054592236
1,16,4,0.07295047327,1,23,3 26 32 47,0.06977164256,1,31,14 39 48 55,4.756456379,0.00760711489
1,28,4,0.07548243452,1,16.25,1 3 26 32,0.06952256296,1,32.25,10 39 48 55,4.754520695,0.00760711489
1,50,4,0.08139817091,2,5.25,1 3 17 32,0.07120401242,1,30.25,14 44 48 52,4.760217816,0.00760711489
1,87,4,0.09105467562,3,2.75,1 5 17 32,0.08591041509,2,11.5,5 14 17 51,4.761167607,0.0397136145
1,151,4,0.1094136505,4,2.5,5 17 32 48,0.1235386972,3,5,5 17 48 51,4.65051362,0.09150911735
1,250,4,0.1151538814,4,2.5,5 17 32 48,0.1338282264,3,4.25,5 17 48 51,4.266520223,0.1088488645
1,264,4,0.1158982784,4,2.5,5 17 32 48,0.1352248646,3,3.75,5 17 48 51,4.222374466,0.1088488645
1,462,4,0.1266149294,4,2.5,5 17 32 48,0.1559462332,3,3,5 17 48 51,3.696223554,0.1504642577
1,500,4,0.1286926141,4,2.5,5 17 32 48,0.1600747764,3,2.75,5 17 48 51,3.606921539,0.1586307193
1,750,4,0.142398156,4,2.5,5 17 32 48,0.1872885338,4,2.5,5 17 32 48,3.056994312,0.2424208524
